from_name,relation_type,to_name,scope
半导体材料,part_of,半导体,产业分类
半导体设备,part_of,半导体,产业分类
封装,part_of,半导体,产业分类
CoWoS,part_of,封装,技术归属
算力租赁,part_of,算力,产业分类
液冷,part_of,算力,产业分类
数据中心,part_of,算力,产业分类
光模块,part_of,通信,产业分类
光纤,part_of,通信,产业分类
EML,part_of,光模块,技术归属
CPO,part_of,光模块,技术归属
NPO,part_of,光模块,技术归属
硅光,part_of,光模块,技术归属
薄膜铌酸锂,part_of,光模块,技术归属
1.6T光模块,part_of,光模块,产品归属
CRO,part_of,医药,产业分类
CDMO,part_of,医药,产业分类
创新药,part_of,医药,产业分类
丝杠,part_of,机器人,产品归属
灵巧手,part_of,机器人,产品归属
减速器,part_of,机器人,产品归属
电子布,part_of,覆铜板,材料组成
覆铜板,part_of,PCB,材料归属
OCS交换机,part_of,交换机,产品分类
MPO,part_of,光模块,产品组成
